LocationID,Location Name,Latitude,Longitude 
1,Crawford Residence Hall,41.60362363,-93.65785266
2,Stalnaker Residence Hall,41.60312623,-93.65802432
3,Carpenter Residence Hall,41.60387233,-93.65718747
4,Herriott Residence Hall,41.60374397,-93.6565652
5,Hubbell Dining Hall,41.60275719,-93.65728403
6,Goodwin-Kirk Residence Hall,41.60151367,-93.65804578
7,Olmsted Center,41.60207526,-93.6568656
8,Aliber Hall,41.60111252,-93.6568656
9,Helmick Commons,41.6025898,-93.65637149
10,Olmsted Center Parking Lot,41.60144948,-93.6559322
11,Harvey Ingham Hall,41.60341773,-93.65521258
12,Science Connector Building,41.60353627,-93.65435205
13,Fitch Hall,41.60346458,-93.65462747
14,Olin Hall,41.60352942,-93.653964
15,Cline Hall,41.60320213,-93.65513973
16,Meredith Hall,41.60222769,-93.65533138
17,Medbury Hall,41.60284844,-93.65454191
18,Johansen Student Center,41.6012088,-93.65521336
19,Collier-Scripps Hall,41.60308847,-93.65370406
20,Jewett Residence Hall,41.60210412,-93.65430837
21,Ray Promenade,41.60289976,-93.65348315
22,Cowles Library,41.60125424,-93.65428332
23,Cartwright Hall,41.60215854,-93.65309235
24,Opperman Law Library,41.60246738,-93.65262175
25,Carnegie Hall,41.60142782,-93.65311865
26,Cole Hall,41.60089608,-93.65307914
27,Sheslow Auditorium,41.60137558,-93.65220385
28,Old Main,41.60110613,-93.65214507
29,Harmon Fine Arts Center,41.60205376,-93.65172067
30,Howard Hall,41.60152583,-93.65144014
31,Boys and Girls Club,41.60376675,-93.65138494
32,Olin Parking Lot,41.60352599,-93.65284559
33,FAC Lot,41.60300924,-93.65063105
